Model,FPR,TPR
Logistic Regression,0.0,0.0002
Logistic Regression,0.0204,0.1346
Logistic Regression,0.0408,0.2018
Logistic Regression,0.0612,0.2567
Logistic Regression,0.0816,0.3009
Logistic Regression,0.102,0.3387
Logistic Regression,0.1224,0.3759
Logistic Regression,0.1429,0.412
Logistic Regression,0.1633,0.443
Logistic Regression,0.1837,0.4754
Logistic Regression,0.2041,0.5056
Logistic Regression,0.2245,0.5349
Logistic Regression,0.2449,0.5617
Logistic Regression,0.2653,0.5913
Logistic Regression,0.2857,0.6213
Logistic Regression,0.3061,0.6475
Logistic Regression,0.3265,0.6737
Logistic Regression,0.3469,0.7022
Logistic Regression,0.3673,0.7282
Logistic Regression,0.3878,0.7509
Logistic Regression,0.4082,0.7746
Logistic Regression,0.4286,0.7955
Logistic Regression,0.449,0.8168
Logistic Regression,0.4694,0.8363
Logistic Regression,0.4898,0.8542
Logistic Regression,0.5102,0.8682
Logistic Regression,0.5306,0.8827
Logistic Regression,0.551,0.8954
Logistic Regression,0.5714,0.9052
Logistic Regression,0.5918,0.9135
Logistic Regression,0.6122,0.923
Logistic Regression,0.6327,0.9309
Logistic Regression,0.6531,0.9391
Logistic Regression,0.6735,0.946
Logistic Regression,0.6939,0.9531
Logistic Regression,0.7143,0.9577
Logistic Regression,0.7347,0.9622
Logistic Regression,0.7551,0.9666
Logistic Regression,0.7755,0.9705
Logistic Regression,0.7959,0.9747
Logistic Regression,0.8163,0.98
Logistic Regression,0.8367,0.9838
Logistic Regression,0.8571,0.9865
Logistic Regression,0.8776,0.9893
Logistic Regression,0.898,0.9913
Logistic Regression,0.9184,0.9934
Logistic Regression,0.9388,0.9957
Logistic Regression,0.9592,0.9978
Logistic Regression,0.9796,0.9992
Logistic Regression,1.0,1.0
Decision Tree,0.0,0.0
Decision Tree,0.0204,0.0701
Decision Tree,0.0408,0.1401
Decision Tree,0.0612,0.2102
Decision Tree,0.0816,0.2802
Decision Tree,0.102,0.3503
Decision Tree,0.1224,0.4458
Decision Tree,0.1429,0.521
Decision Tree,0.1633,0.5783
Decision Tree,0.1837,0.618
Decision Tree,0.2041,0.6533
Decision Tree,0.2245,0.6864
Decision Tree,0.2449,0.7166
Decision Tree,0.2653,0.741
Decision Tree,0.2857,0.7637
Decision Tree,0.3061,0.7809
Decision Tree,0.3265,0.7981
Decision Tree,0.3469,0.8147
Decision Tree,0.3673,0.8323
Decision Tree,0.3878,0.844
Decision Tree,0.4082,0.8552
Decision Tree,0.4286,0.8636
Decision Tree,0.449,0.873
Decision Tree,0.4694,0.8782
Decision Tree,0.4898,0.8838
Decision Tree,0.5102,0.8885
Decision Tree,0.5306,0.8937
Decision Tree,0.551,0.8954
Decision Tree,0.5714,0.8971
Decision Tree,0.5918,0.899
Decision Tree,0.6122,0.901
Decision Tree,0.6327,0.9032
Decision Tree,0.6531,0.9049
Decision Tree,0.6735,0.9053
Decision Tree,0.6939,0.9058
Decision Tree,0.7143,0.9065
Decision Tree,0.7347,0.9132
Decision Tree,0.7551,0.9199
Decision Tree,0.7755,0.9265
Decision Tree,0.7959,0.9332
Decision Tree,0.8163,0.9399
Decision Tree,0.8367,0.9466
Decision Tree,0.8571,0.9533
Decision Tree,0.8776,0.9599
Decision Tree,0.898,0.9666
Decision Tree,0.9184,0.9733
Decision Tree,0.9388,0.98
Decision Tree,0.9592,0.9866
Decision Tree,0.9796,0.9933
Decision Tree,1.0,1.0
Random Forest,0.0,0.0042
Random Forest,0.0204,0.2544
Random Forest,0.0408,0.3738
Random Forest,0.0612,0.4539
Random Forest,0.0816,0.5225
Random Forest,0.102,0.5751
Random Forest,0.1224,0.6169
Random Forest,0.1429,0.6595
Random Forest,0.1633,0.695
Random Forest,0.1837,0.724
Random Forest,0.2041,0.7511
Random Forest,0.2245,0.7737
Random Forest,0.2449,0.7947
Random Forest,0.2653,0.8168
Random Forest,0.2857,0.8344
Random Forest,0.3061,0.8524
Random Forest,0.3265,0.8678
Random Forest,0.3469,0.8811
Random Forest,0.3673,0.8956
Random Forest,0.3878,0.9094
Random Forest,0.4082,0.9195
Random Forest,0.4286,0.9299
Random Forest,0.449,0.9391
Random Forest,0.4694,0.9459
