Model,Feature,Importance,Rank
Decision Tree,year,0.1958,1
Decision Tree,Distance(mi),0.1773,2
Decision Tree,Pressure(in),0.0975,3
Decision Tree,month,0.0823,4
Decision Tree,Traffic_Signal,0.0755,5
Decision Tree,Temperature(F),0.0687,6
Decision Tree,Humidity(%),0.0588,7
Decision Tree,day,0.0492,8
Decision Tree,hour,0.0481,9
Decision Tree,Wind_Speed(mph),0.035,10
Decision Tree,dow,0.0232,11
Decision Tree,is_weekend,0.0156,12
Decision Tree,Visibility(mi),0.0145,13
Decision Tree,Crossing,0.0112,14
Decision Tree,Precipitation(in),0.0088,15
Random Forest,year,0.2057,1
Random Forest,Distance(mi),0.1394,2
Random Forest,Temperature(F),0.0784,3
Random Forest,Pressure(in),0.0757,4
Random Forest,month,0.0692,5
Random Forest,Traffic_Signal,0.0637,6
Random Forest,Humidity(%),0.0547,7
Random Forest,hour,0.0484,8
Random Forest,Crossing,0.0424,9
Random Forest,day,0.0421,10
Random Forest,Wind_Speed(mph),0.0363,11
Random Forest,dow,0.0314,12
Random Forest,Visibility(mi),0.0188,13
Random Forest,is_morning_peak,0.0144,14
Random Forest,Precipitation(in),0.0136,15
Gradient Boosting,year,0.254,1
Gradient Boosting,Distance(mi),0.2021,2
Gradient Boosting,month,0.0907,3
Gradient Boosting,Traffic_Signal,0.0836,4
Gradient Boosting,Pressure(in),0.0813,5
Gradient Boosting,Temperature(F),0.0534,6
Gradient Boosting,hour,0.0395,7
Gradient Boosting,Humidity(%),0.0391,8
Gradient Boosting,day,0.0268,9
Gradient Boosting,Crossing,0.0251,10
Gradient Boosting,Wind_Speed(mph),0.0216,11
Gradient Boosting,dow,0.0191,12
Gradient Boosting,is_weekend,0.0126,13
Gradient Boosting,Visibility(mi),0.0096,14
Gradient Boosting,Stop,0.0082,15
Average,year,0.2185,1
Average,Distance(mi),0.1729,2
Average,Pressure(in),0.0849,3
Average,month,0.0807,4
Average,Traffic_Signal,0.0743,5
Average,Temperature(F),0.0669,6
Average,Humidity(%),0.0509,7
Average,hour,0.0453,8
Average,day,0.0394,9
Average,Wind_Speed(mph),0.031,10
Average,Crossing,0.0262,11
Average,dow,0.0245,12
Average,Visibility(mi),0.0143,13
Average,is_weekend,0.0136,14
Average,Precipitation(in),0.0096,15
