Source,Class,Count,Percentage
Actual,LOW,24946,50.0
Actual,HIGH,24945,50.0
Logistic Regression,LOW,23920,47.94
Logistic Regression,HIGH,25971,52.06
Decision Tree,LOW,24872,49.85
Decision Tree,HIGH,25019,50.15
Random Forest,LOW,22302,44.7
Random Forest,HIGH,27589,55.3
Gradient Boosting,LOW,23312,46.73
Gradient Boosting,HIGH,26579,53.27
K-Nearest Neighbors,LOW,24703,49.51
K-Nearest Neighbors,HIGH,25188,50.49
Original_Sev_1,LOW,62363,25.0
Original_Sev_2,LOW,62363,25.0
Original_Sev_3,HIGH,62363,25.0
Original_Sev_4,HIGH,62363,25.0
