Threshold,Accuracy,Precision,Recall,F1_Score,TP,TN,FP,FN
0.1,0.6586,0.5957,0.9877,0.7432,4741,1582,3218,59
0.15,0.6833,0.6155,0.9769,0.7552,4689,1871,2929,111
0.2,0.7015,0.6318,0.9656,0.7638,4635,2099,2701,165
0.25,0.7197,0.6504,0.95,0.7722,4560,2349,2451,240
0.3,0.7377,0.672,0.9288,0.7798,4458,2624,2176,342
0.35,0.7492,0.6907,0.9023,0.7825,4331,2861,1939,469
0.4,0.7578,0.7098,0.8723,0.7827,4187,3088,1712,613
0.45,0.7582,0.7249,0.8323,0.7749,3995,3284,1516,805
0.5,0.7619,0.7464,0.7933,0.7691,3808,3506,1294,992
0.55,0.7595,0.7684,0.7429,0.7554,3566,3725,1075,1234
0.6,0.7534,0.789,0.6919,0.7373,3321,3912,888,1479
0.65,0.7436,0.815,0.6304,0.7109,3026,4113,687,1774
0.7,0.7283,0.8449,0.5594,0.6731,2685,4307,493,2115
0.75,0.7007,0.8618,0.4781,0.615,2295,4432,368,2505
0.8,0.6699,0.8859,0.39,0.5416,1872,4559,241,2928
0.85,0.6327,0.9073,0.2956,0.4459,1419,4655,145,3381
0.9,0.5906,0.9273,0.1967,0.3245,944,4726,74,3856
0.95,0.5469,0.9518,0.0988,0.1789,474,4776,24,4326
