Model,Metric,Value
Logistic Regression,Accuracy,0.497
Logistic Regression,Precision,0.4869
Logistic Regression,Recall,0.497
Logistic Regression,F1-Score,0.4853
Decision Tree,Accuracy,0.6715
Decision Tree,Precision,0.6639
Decision Tree,Recall,0.6715
Decision Tree,F1-Score,0.6666
Random Forest,Accuracy,0.7189
Random Forest,Precision,0.7164
Random Forest,Recall,0.7189
Random Forest,F1-Score,0.7119
Gradient Boosting,Accuracy,0.7229
Gradient Boosting,Precision,0.7181
Gradient Boosting,Recall,0.7229
Gradient Boosting,F1-Score,0.7176
K-Nearest Neighbors,Accuracy,0.5394
K-Nearest Neighbors,Precision,0.5279
K-Nearest Neighbors,Recall,0.5394
K-Nearest Neighbors,F1-Score,0.5256
