Model,FPR,TPR
Logistic Regression,0.0,0.0036
Logistic Regression,0.0204,0.1517
Logistic Regression,0.0408,0.2397
Logistic Regression,0.0612,0.305
Logistic Regression,0.0816,0.3586
Logistic Regression,0.102,0.4014
Logistic Regression,0.1224,0.444
Logistic Regression,0.1429,0.4815
Logistic Regression,0.1633,0.5149
Logistic Regression,0.1837,0.5436
Logistic Regression,0.2041,0.5734
Logistic Regression,0.2245,0.6009
Logistic Regression,0.2449,0.6257
Logistic Regression,0.2653,0.6497
Logistic Regression,0.2857,0.6716
Logistic Regression,0.3061,0.6934
Logistic Regression,0.3265,0.7143
Logistic Regression,0.3469,0.7352
Logistic Regression,0.3673,0.7523
Logistic Regression,0.3878,0.7674
Logistic Regression,0.4082,0.7809
Logistic Regression,0.4286,0.7955
Logistic Regression,0.449,0.8068
Logistic Regression,0.4694,0.8219
Logistic Regression,0.4898,0.8343
Logistic Regression,0.5102,0.8477
Logistic Regression,0.5306,0.8614
Logistic Regression,0.551,0.8684
Logistic Regression,0.5714,0.8778
Logistic Regression,0.5918,0.8881
Logistic Regression,0.6122,0.8959
Logistic Regression,0.6327,0.9048
Logistic Regression,0.6531,0.914
Logistic Regression,0.6735,0.9222
Logistic Regression,0.6939,0.9301
Logistic Regression,0.7143,0.9357
Logistic Regression,0.7347,0.9411
Logistic Regression,0.7551,0.9469
Logistic Regression,0.7755,0.9535
Logistic Regression,0.7959,0.9599
Logistic Regression,0.8163,0.9659
Logistic Regression,0.8367,0.9711
Logistic Regression,0.8571,0.9762
Logistic Regression,0.8776,0.9812
Logistic Regression,0.898,0.9857
Logistic Regression,0.9184,0.9898
Logistic Regression,0.9388,0.9932
Logistic Regression,0.9592,0.9955
Logistic Regression,0.9796,0.9975
Logistic Regression,1.0,1.0
Decision Tree,0.0,0.0
Decision Tree,0.0204,0.2276
Decision Tree,0.0408,0.3563
Decision Tree,0.0612,0.45
Decision Tree,0.0816,0.5312
Decision Tree,0.102,0.5837
Decision Tree,0.1224,0.6201
Decision Tree,0.1429,0.6543
Decision Tree,0.1633,0.6861
Decision Tree,0.1837,0.7178
Decision Tree,0.2041,0.7394
Decision Tree,0.2245,0.7597
Decision Tree,0.2449,0.7765
Decision Tree,0.2653,0.7886
Decision Tree,0.2857,0.7984
Decision Tree,0.3061,0.8046
Decision Tree,0.3265,0.8116
Decision Tree,0.3469,0.8195
Decision Tree,0.3673,0.8256
Decision Tree,0.3878,0.8298
Decision Tree,0.4082,0.8342
Decision Tree,0.4286,0.8397
Decision Tree,0.449,0.8434
Decision Tree,0.4694,0.8472
Decision Tree,0.4898,0.8524
Decision Tree,0.5102,0.8583
Decision Tree,0.5306,0.8642
Decision Tree,0.551,0.8701
Decision Tree,0.5714,0.876
Decision Tree,0.5918,0.8819
Decision Tree,0.6122,0.8878
Decision Tree,0.6327,0.8937
Decision Tree,0.6531,0.8996
Decision Tree,0.6735,0.9055
Decision Tree,0.6939,0.9114
Decision Tree,0.7143,0.9173
Decision Tree,0.7347,0.9232
Decision Tree,0.7551,0.9291
Decision Tree,0.7755,0.935
Decision Tree,0.7959,0.9409
Decision Tree,0.8163,0.9468
Decision Tree,0.8367,0.9528
Decision Tree,0.8571,0.9587
Decision Tree,0.8776,0.9646
Decision Tree,0.898,0.9705
Decision Tree,0.9184,0.9764
Decision Tree,0.9388,0.9823
Decision Tree,0.9592,0.9882
Decision Tree,0.9796,0.9941
Decision Tree,1.0,1.0
Random Forest,0.0,0.0099
Random Forest,0.0204,0.3683
Random Forest,0.0408,0.5073
Random Forest,0.0612,0.595
Random Forest,0.0816,0.6612
Random Forest,0.102,0.71
Random Forest,0.1224,0.7445
Random Forest,0.1429,0.7723
Random Forest,0.1633,0.8038
Random Forest,0.1837,0.827
Random Forest,0.2041,0.8477
Random Forest,0.2245,0.8664
Random Forest,0.2449,0.8821
Random Forest,0.2653,0.8952
Random Forest,0.2857,0.908
Random Forest,0.3061,0.9184
Random Forest,0.3265,0.9253
Random Forest,0.3469,0.9326
Random Forest,0.3673,0.9392
Random Forest,0.3878,0.9454
Random Forest,0.4082,0.9511
Random Forest,0.4286,0.9573
Random Forest,0.449,0.9626
Random Forest,0.4694,0.9662
Random Forest,0.4898,0.9696
Random Forest,0.5102,0.9727
Random Forest,0.5306,0.9756
Random Forest,0.551,0.9781
Random Forest,0.5714,0.9808
Random Forest,0.5918,0.9831
Random Forest,0.6122,0.9864
Random Forest,0.6327,0.9884
Random Forest,0.6531,0.9905
Random Forest,0.6735,0.992
Random Forest,0.6939,0.9934
Random Forest,0.7143,0.9947
Random Forest,0.7347,0.9956
Random Forest,0.7551,0.9966
Random Forest,0.7755,0.9975
Random Forest,0.7959,0.9978
Random Forest,0.8163,0.9984
Random Forest,0.8367,0.9985
Random Forest,0.8571,0.9991
Random Forest,0.8776,0.9993
Random Forest,0.898,0.9995
Random Forest,0.9184,0.9995
Random Forest,0.9388,0.9996
Random Forest,0.9592,0.9997
Random Forest,0.9796,0.9997
Random Forest,1.0,1.0
